Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1985-10-01,47518.0,1857.1666666666667,8776.0,-8539.0,6899.0,26563.0,7453.5,39057.0,-266.0,3205.0,16199.0,39051.0,6533.0
1986-01-01,42151.0,3476.8333333333335,1471.0,-9426.0,12191.0,13955.0,5441.666666666667,39646.0,-867.0,7255.0,10629.0,33238.0,11173.0
1986-04-01,20508.0,1688.5,-8785.0,1668.0,9897.0,920.0,5480.166666666667,26267.0,1652.0,7001.0,4790.0,2933.0,11521.0
1986-07-01,-11777.0,-1838.6666666666667,-5471.0,-14788.0,26053.0,-24785.0,6658.0,-7245.0,-1484.0,3388.0,-43688.0,-17128.0,24568.0
1986-10-01,-9977.0,-3070.1666666666665,-474.0,2709.0,-7376.0,3309.0,1878.1666666666667,-9121.0,2229.0,-5855.0,-905.0,-1864.0,-5170.0
1987-01-01,45442.0,6269.0,-14226.0,-80.0,3650.0,35987.0,2022.8333333333333,54123.0,-2129.0,2107.0,48579.0,50391.0,1517.0
1987-04-01,25481.0,5903.5,-20319.0,5694.0,12212.0,4215.0,1051.8333333333333,40074.0,-4014.0,5732.0,28584.0,24741.0,8166.0
1987-07-01,-2196.0,-3172.1666666666665,-8289.0,13702.0,-4043.0,-9399.0,4708.333333333333,4355.0,-749.0,601.5,2773.0,-5266.0,-4778.0
1987-10-01,95725.0,12886.5,-10451.0,25101.0,29864.0,17040.0,8948.0,101045.0,3530.0,7681.0,57089.0,36588.0,33384.0
1988-01-01,21045.0,3979.5,-12205.0,18033.0,23086.0,-20201.0,5523.833333333333,30185.0,1803.0,778.0,2201.0,-10575.0,24907.0
1988-04-01,29197.0,2175.8333333333335,-21465.0,18740.0,14777.0,9534.0,9780.833333333334,46428.0,617.0,-105.0,30867.0,13783.0,15432.0
1988-07-01,24293.0,8347.0,-17387.0,14476.0,11222.0,4043.0,-2352.5,38907.0,355.0,1390.0,33971.0,14547.0,11625.0
1988-10-01,33371.0,6395.333333333333,-25687.0,37801.0,-9128.0,15273.0,556.0,56025.0,4288.0,1200.5,65266.0,20608.0,-4967.0
1989-01-01,65960.0,6987.833333333333,9831.0,25306.0,-5874.0,22952.0,-149.5,56451.0,902.0,-1396.0,54916.0,38199.0,-5011.0
1989-04-01,50515.0,5459.166666666667,4898.0,29875.0,16689.0,-11186.0,5687.5,45588.0,4120.0,-4164.5,20794.0,3156.0,20780.0
1989-07-01,13959.0,-219.5,-7488.0,17617.0,-394.0,-13357.0,4849.833333333333,20295.0,3062.0,2734.0,8634.0,-1007.0,2613.0
1989-10-01,20258.0,2828.1666666666665,-7321.0,1860.0,1397.0,21845.0,943.5,26415.0,-3665.0,-2844.0,27423.0,32390.0,-2197.0
1990-01-01,18585.0,828.8333333333334,2603.0,21417.0,5340.0,-21650.0,4365.166666666667,15941.0,4813.0,3389.0,483.0,-18857.0,10079.0
1990-04-01,46550.0,5265.833333333333,-2822.0,10119.0,17338.0,9874.0,6386.833333333333,48345.0,2207.0,2022.0,23516.0,18121.0,19560.0
1990-07-01,30476.0,4474.833333333333,6096.0,15545.0,13324.0,7274.0,989.8333333333334,24590.0,-1731.0,-3849.5,22807.0,1484.0,11644.0
1990-10-01,-14323.0,-3093.3333333333335,9016.0,-397.0,1980.0,-2193.0,549.3333333333334,-21850.0,-154.0,-9881.0,-8969.0,-8917.0,1823.0
1991-01-01,-22629.0,-6041.5,376.0,-6594.0,9543.0,-22949.0,5946.333333333333,-22606.0,124.0,-867.5,-42475.0,-27804.0,9667.0
1991-04-01,-26846.0,-8014.333333333333,-1087.0,-22403.0,-13668.0,3345.0,2759.0,-25537.0,-3797.0,4599.0,-25507.0,5932.0,-17429.0
