Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1980-10-01,-6838.5,624155.0,780912.6666666666,22107.0,2994675.0,1162251.0,2985557.0,2963450.0,2887758.0,2911885.0,97799.0,538096.0,73672.0,1480085.0,343222.0
1981-01-01,29066.25,651221.0,806293.0,23928.0,3085451.0,1248195.0,3124206.0,3100278.0,3025407.0,3047946.0,98799.0,596974.0,76260.0,1521275.0,354736.0
1981-04-01,8784.75,658985.0,817274.0,24263.0,3150818.0,1237624.0,3162532.0,3138269.0,3056292.0,3083862.0,106240.0,578639.0,78670.0,1566662.0,358245.0
1981-07-01,32970.0,677044.0,840673.6666666666,25904.0,3216650.0,1304970.0,3260609.0,3234706.0,3157820.0,3179329.0,102790.0,627926.0,81281.0,1600346.0,355293.0
1981-10-01,18605.25,647172.0,834380.0,28780.0,3256012.0,1276376.0,3280818.0,3252038.0,3186908.0,3197277.0,93911.0,629205.0,83542.0,1638566.0,365876.0
1982-01-01,-16099.5,631251.0,842896.0,29584.0,3295768.0,1242878.0,3274302.0,3244718.0,3187111.0,3188487.0,87190.0,611627.0,85814.0,1674775.0,356648.0
1982-04-01,-3124.5,658250.0,852973.0,27676.0,3336137.0,1275294.0,3331972.0,3304296.0,3229822.0,3243989.0,102149.0,617043.0,87983.0,1705984.0,350693.0
1982-07-01,4348.5,654880.0,843424.0,27676.0,3360524.0,1270934.0,3366322.0,3338646.0,3262231.0,3276178.0,104091.0,616054.0,90144.0,1752826.0,342562.0
1982-10-01,-29865.0,629628.0,859329.6666666666,27958.0,3442380.0,1249175.0,3402561.0,3374603.0,3309749.0,3310568.0,92811.0,619547.0,91993.0,1804466.0,348920.0
1983-01-01,-26295.0,631943.0,866708.0,30751.0,3508473.0,1265002.0,3473413.0,3442662.0,3365201.0,3379263.0,108212.0,633059.0,94150.0,1850084.0,358327.0
1983-04-01,-5754.0,698825.0,888562.6666666666,33009.0,3586520.0,1325172.0,3578848.0,3545839.0,3462673.0,3482007.0,116175.0,626348.0,96841.0,1889040.0,364635.0
1983-07-01,-3153.0,731988.0,908958.0,35482.0,3693383.0,1359234.0,3689179.0,3653697.0,3553105.0,3589474.0,136074.0,627245.0,99705.0,1943154.0,386791.0
