Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1987-07-01,-0.9,0.65,1.9066666666666665,0.28,4.71,1.66,3.23,3.63,3.42,-0.11,1.01,0.09,1.37,0.48
1987-10-01,3.7275,3.17,-0.6733333333333333,0.07,2.07,3.96,6.98,6.48,7.0,0.56,0.8,0.05,2.67,0.41
1988-01-01,-2.77,0.48,3.013333333333333,0.22,5.78,0.83,1.86,2.34,2.11,-0.26,0.34,-0.03,2.4,-1.14
1988-04-01,0.2475,2.29,1.6133333333333333,0.22,5.03,2.75,5.14,4.2,5.29,1.16,0.46,0.07,1.78,0.83
1988-07-01,0.03750000000000003,0.96,0.08,0.16,2.31,0.17,2.2,3.09,2.28,-0.73,-0.79,0.08,2.55,-0.36
1988-10-01,0.20750000000000002,2.21,1.5733333333333333,0.19,5.16,2.64,5.25,4.5,5.35,0.93,0.43,0.08,2.61,0.18
1989-01-01,1.35,1.2,0.8666666666666667,-0.14,2.33,3.1,4.27,3.41,4.08,0.72,1.9,0.04,1.18,-0.15
1989-04-01,-0.6000000000000001,0.24,1.8133333333333335,0.46,3.88,1.92,2.62,4.06,3.07,-0.98,1.68,0.02,1.84,-0.68
1989-07-01,-1.3825,1.59,2.0466666666666664,0.05,4.84,1.23,2.95,3.41,2.93,-0.41,-0.37,0.06,1.33,0.44
1989-10-01,0.2775,-0.52,-0.9333333333333332,-0.03,0.42,-1.03,0.82,1.23,0.69,-0.44,-0.51,0.1,2.08,-0.26
1990-01-01,-0.07500000000000001,1.77,1.4866666666666666,0.18,4.54,2.13,4.27,4.78,4.3,-0.34,0.36,0.14,1.49,0.82
1990-04-01,1.035,-0.58,-0.7866666666666666,-0.09,0.08,0.2,1.55,1.26,1.35,0.2,0.78,0.11,2.16,-0.9
1990-07-01,-0.5549999999999999,-0.08,0.4666666666666666,-0.03,1.0,-0.04,0.3,0.21,0.22,0.06,0.04,0.05,1.23,-0.93
1990-10-01,-1.4775,-2.85,-0.5466666666666666,0.15,-1.63,-2.79,-3.75,-1.84,-3.61,-1.75,0.07,0.02,0.5,-1.31
1991-01-01,-0.195,-2.41,-0.62,0.01,-1.6,-1.19,-1.87,-0.83,-1.93,-1.03,1.22,0.07,0.51,-1.18
1991-04-01,-0.09,1.46,0.5933333333333334,0.13,3.27,0.77,3.03,2.28,3.03,0.88,-0.69,0.13,2.22,0.16
1991-07-01,0.8724999999999999,2.2,0.10666666666666669,0.25,0.88,1.32,1.79,1.2,2.12,0.84,-0.88,-0.09,0.93,-0.22
1991-10-01,1.4325,-1.14,-1.0033333333333332,0.33,-0.51,0.4,1.07,1.99,1.24,-0.59,1.55,0.16,0.68,0.31
