Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1971-10-01,0.39,2.55,0.15,0.26,0.0,0.37,0.42,0.51,0.01,3.52,0.43,0.52,3.03,0.92,1.1,0.17,,,1.58,0.97,0.05,0.2,0.48,6.29,5.37,2.23,0.29,0.41,3.28,0.22
1972-01-01,0.23,1.38,0.37,-0.06,0.69,-0.54,0.82,0.6,0.34,1.86,0.33,0.49,3.59,0.72,0.81,0.39,,,0.17,0.48,0.0,0.45,0.56,5.55,4.83,2.77,-0.01,0.6,3.53,0.23
1972-04-01,0.71,1.54,0.43,0.08,0.16,2.08,0.38,0.24,0.13,5.24,0.27,0.54,2.52,0.64,1.01,0.2,,,0.73,3.7,0.14,0.78,0.2,5.32,4.68,1.64,0.11,0.44,2.59,0.12
1972-07-01,0.88,1.58,0.34,-0.06,0.5,0.3,0.48,0.53,0.28,3.46,0.11,0.44,2.91,0.64,0.74,0.17,,,0.48,1.89,0.1,0.43,0.47,5.66,5.02,2.15,0.13,0.47,2.85,0.14
1972-10-01,0.82,3.29,1.2,0.4,0.27,0.6,0.3,0.44,0.64,5.9,0.43,0.49,3.42,0.79,1.39,0.02,,,2.06,2.61,0.2,0.55,0.66,7.92,7.13,2.48,0.19,0.59,3.83,0.13
1973-01-01,0.79,3.97,-0.06,-0.14,0.39,-0.95,0.76,0.96,0.35,4.81,0.22,0.86,2.83,0.68,0.27,0.36,,,2.1,0.84,0.31,0.65,0.22,8.52,7.84,2.43,0.29,0.6,2.69,0.04
1973-04-01,-0.09,-0.75,0.02,0.08,0.15,-1.3,-0.24,0.18,-0.11,-1.9,0.28,0.56,1.64,0.69,0.83,0.2,,,-0.83,-1.15,0.15,0.35,0.17,1.1,0.41,0.9,0.17,-0.25,1.72,0.0
1973-07-01,0.05,-0.55,0.35,-0.24,0.09,-0.01,0.31,0.08,0.07,0.07,-0.41,0.3,1.58,0.69,0.99,-0.18,,,-0.91,0.62,0.12,0.51,-0.15,1.07,0.38,0.37,0.05,0.16,1.34,-0.01
1973-10-01,0.19,-1.41,-0.44,0.04,0.18,-0.88,-0.05,0.19,-0.26,-1.95,0.29,0.21,0.72,0.67,0.51,0.25,,,-1.61,-0.54,0.19,0.42,-0.25,0.14,-0.53,0.27,0.15,-0.18,0.76,-0.02
1974-01-01,0.09,-1.35,-2.44,0.01,-0.52,-0.31,-0.41,0.23,-2.0,-3.18,-0.01,0.29,-0.35,0.91,0.5,-0.01,,,-1.61,-1.83,0.04,0.38,-0.46,-0.79,-1.7,-0.82,0.1,-0.01,-0.35,0.14
1974-04-01,-0.33,0.31,1.13,-0.01,0.32,-0.55,0.14,-0.04,0.6,-0.62,0.33,0.31,2.08,0.73,1.29,0.34,,,-0.12,-0.92,0.14,-0.64,-0.14,0.87,0.14,0.8,0.17,0.33,2.07,-0.01
1974-07-01,-0.46,0.33,0.59,-0.08,0.69,1.33,-0.08,-0.42,0.38,0.63,-0.07,0.11,1.17,0.63,0.86,0.0,,,0.62,0.3,-0.05,-0.94,-0.57,-0.19,-0.82,0.26,0.22,0.18,1.1,-0.05
1974-10-01,-1.11,-5.43,0.79,0.05,0.61,-1.12,0.2,-1.16,0.6,-7.86,0.17,0.25,2.09,0.52,0.72,0.13,,,-3.48,-2.43,-0.21,-0.8,0.16,-5.39,-5.91,1.43,0.22,-0.59,2.14,-0.06
1975-01-01,0.88,1.14,-0.54,-0.08,0.83,0.08,0.26,-0.18,-0.36,1.41,0.33,0.87,2.07,0.16,-0.01,0.41,,,0.79,0.27,0.22,-0.33,0.06,3.86,3.7,2.0,0.06,0.31,1.99,0.01
1975-04-01,0.9,1.07,0.79,0.06,0.13,1.74,0.64,0.17,0.17,4.13,0.41,0.54,2.55,0.29,0.92,0.35,,,0.04,3.06,0.13,0.25,0.24,4.21,3.91,1.7,-0.05,0.72,2.61,0.13
1975-07-01,0.45,3.39,-0.13,0.1,0.06,0.48,-0.02,0.32,-0.15,4.77,-0.08,-0.16,0.94,0.42,0.42,-0.18,,,2.46,1.38,0.31,0.6,0.26,5.46,5.04,0.61,0.15,0.3,1.04,0.22
