Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1979-10-01,14701.0,,,,7344758.0,1521357.0,7318535.0,,,7148767.0,,,170820.0,-177373.5,4845537.0,1265465.0
1980-01-01,16250.0,,,,7358664.0,1537644.0,7341557.0,,,7170220.0,,,172383.0,-164540.0,4862322.0,1237312.0
1980-04-01,13872.0,,,,7213495.0,1498040.0,7190289.0,,,7017989.0,,,173262.0,-168771.0,4874880.0,1117833.0
1980-07-01,-59914.0,,,,7309805.0,1481812.0,7181743.0,,,7007720.0,,,174957.0,-195606.5,4902339.0,1120657.0
1980-10-01,-16997.0,,,,7377890.0,1518442.0,7315677.0,,,7138447.0,,,178181.0,-180347.0,4942436.0,1170276.0
1981-01-01,69238.0,,,,7408219.0,1594817.0,7459022.0,,,7279217.0,,,180779.0,-133550.0,4941215.0,1171655.0
1981-04-01,17351.0,,,,7425541.0,1555429.0,7403745.0,,,7222637.0,,,182050.0,-164089.5,4983043.0,1154305.0
1981-07-01,71443.0,,,,7434924.0,1613964.0,7492405.0,,,7308614.0,,,184741.0,-122587.0,4988325.0,1121329.0
1981-10-01,36320.0,,,,7401635.0,1560172.0,7410768.0,,,7226204.0,,,185466.0,-155308.5,5007659.0,1126368.0
1982-01-01,-34131.0,,,,7384609.0,1509378.0,7295631.0,,,7108947.0,,,187480.0,-186535.5,5026307.0,1078169.0
1982-04-01,-6705.0,,,,7376304.0,1535922.0,7328912.0,,,7140334.0,,,189360.0,-165615.5,5036891.0,1046642.0
1982-07-01,7453.0,,,,7328720.0,1515536.0,7300896.0,,,7110002.0,,,191606.0,-172338.0,5078394.0,1016365.0
1982-10-01,-65093.0,,,,7431699.0,1483584.0,7303817.0,,,7111830.0,,,192671.0,-209115.0,5139974.0,1035700.0
1983-01-01,-60654.0,,,,7516040.0,1494996.0,7400066.0,,,7205565.0,,,195188.0,-213485.0,5206507.0,1070213.0
1983-04-01,-9540.0,,,,7626146.0,1553716.0,7568456.0,,,7369911.0,,,199255.0,-196674.5,5266789.0,1093151.0
1983-07-01,-3299.0,,,,7770037.0,1584205.0,7719746.0,,,7518092.0,,,202402.0,-201448.5,5333823.0,1157622.0
1983-10-01,34462.0,,,,7875072.0,1666119.0,7880794.0,,,7674557.0,,,206991.0,-163277.0,5324758.0,1187729.0
1984-01-01,109746.0,,,,7931611.0,1723142.0,8034847.0,,,7825556.0,,,210103.0,-140380.5,5348257.0,1237699.0
1984-04-01,103174.0,,,,8076914.0,1758661.0,8173670.0,,,7958759.0,,,215667.0,-140275.0,5410110.0,1279031.0
1984-07-01,107716.0,,,,8150870.0,1777810.0,8252465.0,,,8032519.0,,,220604.0,-140508.0,5453433.0,1296118.0
